管理組織名稱,地址門牌,使照號碼,核准日期,核准文號,證書編號
易家大禾社區管理委員會,平鎮區廣泰路233號,(105)桃市都施使字第平00317號,105/10/07,'1050034818,'105024
易家寬禾社區管理委員會,平鎮區廣泰路262-3號,(106)桃市都施使字第平00841號,107/02/13,'1070006410,'107003
純學墅社區,平鎮區廣泰路295號,(92)桃縣工建使字第平01951號,093/04/27,'0930100724,'930054
純學墅A區,平鎮區廣泰路300巷1號4樓,(93)桃縣工建使字第平00211號,093/05/17,'0930120037,'930065
陸江誠邑社區管理委員會,平鎮區廣泰路300巷6號,(87)桃縣建使字第00100號,087/10/01,'8700198867,'870210
經典名品管理委員會,平鎮區廣義街26巷23號,(102)桃縣工建使字第平00417號,102/11/05,'1020273437,'102248
助東豪邸管理委員會,平鎮區廣德街10號等,(87)桃縣工建使字第其191號,101/08/20,'1010207128,'101152
名門世家第二期社區管理委員會,平鎮區廣德街179號1樓,(89)桃縣工建使字第平01753號,090/02/02,'9000020234,'900026
名門家園管理委員會,平鎮區廣德街185號,(86)桃縣建使字第00321號,087/09/25,'8700195345,'870205
文化翰林社區,平鎮區廣德街191號3樓,(92)桃縣工建使字第平00705號,092/08/28,'0920197896,'920100
文化天尊管理委員會,平鎮區廣德街192巷47弄22號,(94)桃縣工建使字第平01060號,095/03/02,'0950056392,'950031
文學園社區管理委員會,平鎮區廣德街232樓,(89)桃縣工建使字第平01618號,090/06/21,'9000121473,'900069
米蘭花園廣德社區,平鎮區廣德街238巷3弄12號,(90)桃縣工建使字第平00142號,091/05/21,'0910107750,'910041
文萊公寓大廈管理負責人,平鎮區廣德街282巷60號等,(98)桃縣工建使字第平00484號,098/09/02,'0980341385,'980159
大亨別墅社區管理委員會,平鎮區廣德街29巷38號 等,(94)桃縣工建使字第平01116號,096/01/01,'0950395453,'950286
名門世家,平鎮區廣德街93號5樓,(88)桃縣工建使字第平00103號,088/07/22,'8800155821,'880132
生活特區守望相助管理委員會,平鎮區廣興里忠孝路108之4號7樓 等,(82)桃縣工建使字第平0055號,099/02/26,'0990072839,'990033
碧瑤社區,平鎮區廣豐街36巷1弄10衖8號,(84)桃縣工建使字第復01399號,095/04/13,'0950105358,'950063
北勢國宅社區管理委員會,平鎮區德育路2段124巷21弄9號,(74)桃縣工建使字第01714號共3筆使照,096/01/31,'39621,'960041
兆發富御社區管理負責人,平鎮區德育路53號1樓,(101)桃縣工建使字第平00220號,105/07/21,'1050024696,'105018
天閱社區管理委員會,平鎮區德育路二段104巷40號,(100)桃縣工建使字第平00279號,100/11/14,'1000465429,'100221
源美亞典社區管理委員會,平鎮區德育路二段166之1號,(98)桃縣工建使字第平00013號,099/04/09,'0990132842,'990065
國寶經典社區,平鎮區德育路二段177巷21號,(92)桃縣工建使字第平01461號,093/06/14,'0930148105,'930086
華登經典二期管理委員會,平鎮區德育路二段177巷46號,(95)桃縣工建使字第平02140號,097/04/28,'0970133069,'970053
德育御品公寓大廈管理委員會,平鎮區德育路二段180-1號,(104)桃市都建使字第平00355號,105/05/25,'1050017536,'
賦北美墅管理負責人,平鎮區賦梅北路263巷20號,(105)桃市都施使字第平00241號,106/03/15,'1060009479,'106003
興安大樓管理負責人,平鎮區興安路136號4樓,(105)桃市都施使字第平01468號,106/04/12,'1060013518,'106007
國寶京都B區,平鎮區興安路35號,(94)桃縣工建使字第平00972號,095/07/20,'0950211838,'950142
國寶京都A區,平鎮區興安路39巷27號,(94)桃縣工建使字第平00975號,095/07/19,'0950211837,'950141
國寶京都C區,平鎮區興安路52號,(94)桃縣工建使字第平00936號,095/07/20,'0950211840,'950143
湯荷社區公寓大廈管理委員會,平鎮區興安路55巷32號,(93)桃縣工建使字第平00991號,093/12/01,'0930314892,'930159
春虹大地A區社區,平鎮區興華街101巷12弄2號1樓,(88)桃縣工建使字第平00769號,089/01/19,'0980468307,'890013
春虹大地B區社區管理委員會,平鎮區興華街101巷16弄28號6樓之1 等,(88)桃縣工建使字第平01065號,089/02/10,'8900027572,'890032
大唐江山社區管理委員會,平鎮區興華街101巷28弄28號,(84)桃縣建使字第00191號,087/04/23,'8500264111,'860059
麗芝寶公寓大廈管理委員會,平鎮區興華街101巷3號,(86)桃縣建使字第00314號,087/05/22,'8700099793,'870105
翰林書苑B區,平鎮區興華街28弄11號,(94)桃縣工建使字第平00848號,094/09/28,'0940271360,'
長紅計劃香榭特區管理委員會,平鎮區龍平路102號,(97)桃縣工建使字第平01901號,099/07/09,'0990263758,'990167
忠貞傳家堡第十期,平鎮區龍平路358號,(96)桃縣工建使字第平01361號,097/01/23,'0970027834,'970012
龍安富邑社區管理委員會,平鎮區龍安路131,(104)桃市都建使字第平01364號,106/09/14,'1060033734,'106013
銀河之星管理負責人詹俊三,平鎮區龍安路153號等,(95)桃縣工建使字第平02443號,095/11/14,'0950341532,'
龍隱別墅社區管理委員會,平鎮區龍安路77巷2弄56號 等,(95)桃縣工建使字第平01745號共2筆使照,097/03/11,'0970074756,'970032
學府天下公寓大廈管理委員會,平鎮區龍南路430巷66弄3號地下室,(82)桃縣建使字第00347號,091/10/02,'0910215768,'910115
綠大地國宅公寓大廈,平鎮區龍南路654巷60弄24號7樓,(89)桃縣工建使字第平01606號,091/07/10,'0910148624,'910072
龍大地公寓大廈,平鎮區龍南路670-1號4樓,(84)桃縣建使字第其205號共2筆使照,085/11/16,'8500262400,'
凱撒大地社區管理委員會,平鎮區龍恩里3鄰游泳路2-35號,,104/07/15,'1040023354,'104022
別墅龍之鄉社區,平鎮區龍德路129巷38號 等,(92)桃縣工建使字第平01060號,093/06/17,'0930152647,'930087
龍東世家公寓大廈管理委員會,平鎮區龍德路12號4樓之1,(82)桃縣工建使字第平00476號,102/11/19,'1020285908,'102253
龍德狀元別墅D區管理委員會,平鎮區龍興里23鄰龍德路147號等,(94)桃縣工建使字第平02270號,095/10/24,'0950315269,'950225
龍德狀元別墅ABC區管理委員會,平鎮區龍興里23鄰龍德路177號等,(94)桃縣工建使字第平02268號,095/10/27,'0950317233,'950234
漢諾瓦別墅,平鎮區營德路277巷2弄13號,(88)桃縣工建使字第平00821號,089/03/08,'8900045374,'890043
翡翠雙星管理委員會,平鎮區環南路184號等,(79)桃縣建使字第00089號,089/05/17,'8900095021,'890099
雙城商業大樓管理委員會,平鎮區環南路1號,(104)桃市都建使字第平01018號,105/07/18,'1050024210,'105017
名揚大樓管理委員會,平鎮區環南路20號,(82)桃縣工建使字第平0022號,094/10/17,'0942900085,'940192
大唐天寶公寓大廈管理委員會,平鎮區環南路301巷16號,(84)桃縣工建使字第平00415號,085/12/04,'8500274269,'870065
慕光社區管理委員會,平鎮區環南路35巷31號,(106)桃市都施使字第平00418號,106/10/18,'1060038940,'106015
凱悅福星大樓凱悅座住戶管理委員會,平鎮區環南路35巷33號,(85)桃縣建使字第00335號,089/03/14,'8900049311,'890048
通營巨星大樓,平鎮區環南路411號,(80)桃縣建使字第00214號,088/06/25,'8800133890,'880116
現代生活家住戶管理委員會,平鎮區環南路460號,(84)桃縣建使字第00170號,085/12/09,'8500277296,'900129
宜誠恆美社區管理委員會,平鎮區環南路465號,(105)桃市都施使字第平01028號,106/01/16,'1060000239,'106001
麒麟晨曦社區住戶管理委員會,平鎮區環南路66巷17弄17號,(92)桃縣工建使字第平01319號,093/01/05,'0930002608,'930003
名格世紀廣場辦公大樓管理委員會,平鎮區環南路二段11號,(82)桃縣建使字第00108號,087/07/31,'8700151699,'870164
名格世紀廣場住宅大樓管理委員會,平鎮區環南路二段13.15號,(82)桃縣建使字第00108號,086/02/03,'8600023274,'860026
春虹麗晶花園社區管理委員會,平鎮區環南路二段16號,(93)桃縣工建使字第平00435號,095/03/02,'0950054951,'950034
白金漢宮社區管理委員會,平鎮區環南路二段179號,(81)桃縣工建使字第00019號,086/11/21,'8600230071,'860323
金碧輝煌大廈,平鎮區環南路二段226-240號,(82)桃縣建使字第00248號,087/06/26,'8700126214,'870135
光輝大樓管理委員會,平鎮區環南路二段23號 等,(84)桃縣建使字第00202號,092/10/06,'0920230420,'920114
美墅京華社區,平鎮區環南路二段257巷17號,(95)桃縣工建使字第平02590號,096/05/18,'0164850,'960107
臻愛香榭管理委員會,平鎮區環南路二段260-5號 等,(93)桃縣工建使字第平01480號,100/03/08,'1000085649,'100049
領袖王朝社區管理委員會,平鎮區環南路二段262號,(84)桃縣建使字第00128號,086/06/27,'8600121932,'860179
中悅桂冠大樓管理委員會,平鎮區環南路二段271號,(88)桃縣工建使字第01193號,094/06/15,'0940156578,'940092
通營帝國辦公大樓管理委員會,平鎮區環南路二段27號,(81)桃縣工建使字第00043號,106/11/13,'1060042648,'106018
新壢花園廣場管理委員會,平鎮區環南路二段280號,(83)桃縣工建使字第00494號,086/04/21,'8600072728,'860118
通營帝國住宅大樓管理委員會,平鎮區環南路二段31號,(81)桃縣建使字第00043號,086/03/10,'8600043145,'860060
當代米羅公寓大廈管理委員會,平鎮區環南路三段123-133號,(89)桃縣工建使字第平00302號,089/06/28,'8900126047,'890121
城市CRV社區管理委員會,平鎮區環南路三段185號,(93)桃縣工建使字第平01331號,094/07/05,'0940182401,'940105
典藏巴黎活力館社區管理委員會,平鎮區環南路三段317號,(94)桃縣工建使字第平00977號,094/12/20,'0940356049,'940244
千禧典藏社區,平鎮區環南路三段321巷3弄12號,(92)桃縣工建使字第平01469號,093/08/04,'0930200942,'930115
美麗人生社區,平鎮區鎮德路249號,(95)桃縣工建使字第平01913號,097/05/06,'0970143164,'970064
好鄰居社區,平鎮區雙連里19鄰民族路雙連里19鄰民族路雙連二段113巷33弄75號等,(93)桃縣工建使字第平01504號,094/06/22,'0166269,'940096
領袖山莊社區,平鎮區雙連里8鄰雙連坡43-28號,,088/06/24,'8800132734,'880114
大學至善園,平鎮區雙連坡9-15號,(88)桃縣工建使字第平01114號,088/11/05,'8800241415,'880193
清淨雅墅管理委員會,平鎮區關爺北路208號,(98)桃縣工建使字第平00290號,098/06/15,'0980226363,'098090
鼎藏璞麗二期社區管理委員會,平鎮區文心路128號,(106)桃市都施使字第平00906號,107/04/30,'107006,'1070029351
心有墅社區管理委員會,平鎮區新光路四段45巷76弄12號,(106)桃市都施使字第平01162號,107/04/10,'107005,'1070013338
哲園管理負責人,平鎮區上海路120巷63號,(105)桃市都施使字第平00030號,107/05/25,'1070019993,'107008
竑門御天下管理委員會,平鎮區延平路一段9號,(104)桃市工建使字第平00246號,107/05/28,'1070020159,'107009
中央翠庭西區管理委員會,平鎮區高雙路88巷37號,(80)桃縣工建使字第00063號,107/05/25,'1070019888,'107007
領袖富邑管理委員會,楊梅區三元街112巷38號,(99)桃縣工建使字第楊00093號,100/05/11,'1000182124,'100093
陽光大道貳期社區管理委員會,楊梅區三元街160巷1號,(85)桃縣工建使字第楊00027號,086/01/28,'8600019254,'860031
大利市富貴特區,楊梅區三元街161巷2號,(84)桃縣建使字第00445號,087/08/11,'8600022692,'860023
陽光大道壹期社區管理委員會,楊梅區三元街164~184號,(84)桃縣工建使字第楊其253號,094/10/27,'0940301632,'940202
大利市吉祥社區,楊梅區三元街179號7樓之1,(84)桃縣建使字第00050號,089/11/09,'8900228454,'890179
名城大街第五期管理委員會,楊梅區三元街290號,(97)桃縣工建使字第楊01848號,099/11/02,'0990433504,'990262
皇家尊爵社區管理委員會,楊梅區三民北路125號等,(94)桃縣工建使字第楊01099號,095/06/08,'0950163442,'950104
舞揚1綻二期社區管理委員會,楊梅區三民北路163巷8號1樓,(103)桃縣工建使字第楊00621號,105/01/04,'1010041590,'104022
%順儷V1社區管理委員會%,楊梅區三民北路93號等7戶,(104)桃市工建使字第楊00282號,104/12/17,'1040039557,'104021
陽光學園社區管理委員會,楊梅區三民里三民路55巷7號8樓,(96)桃縣工建使字第楊00132號,097/08/11,'0970259908,'970141
尚品居社區管理委員會,楊梅區三民東路146巷5號等,(94)桃縣工建使字第楊01656號共2筆使照,095/08/29,'0950253227,'950181
儷府國宅NO.2社區管理委員會,楊梅區三民東路226-264號,(86)桃縣工建使字第楊00461號,087/10/15,'8700206269,'870217
儷府國宅NO.1社區,楊梅區三民東路302號,(86)桃縣工建使字第楊01085號,087/03/30,'8700059443,'870061
公園臻品社區管理委員會,楊梅區三民路43巷108號2樓等,(93)桃縣工建使字第桃01476號,094/05/17,'0940128492,'940075
陽光山林社區管理委員會,楊梅區三民路二段69號,,086/03/18,'8600050129,'860119
陽光大綠地管理委員會,楊梅區三民路二段86巷13號1樓,(79)桃縣工建使字第楊01858號,090/09/14,'9000171939,'900100
陽光加州大樓,楊梅區三民路二段96巷6號2樓,(85)桃縣建使字第00164號,087/04/07,'8600097162,'860149
小富翁社區,楊梅區上湖里10鄰富民街143巷250弄70號4樓,(93)桃縣工建使字第楊01809號共3筆使照,094/04/29,'0940113648,'940067
夢想莊園管理委員會,楊梅區上湖里15鄰高鐵南路十段599巷110弄20號,(105)桃市都施使字第楊00455號,106/07/24,'1060023918,'106008
麗傑社區住戶,楊梅區上湖里3鄰上四湖18-21號,(85)桃縣工建使字第00577號共6筆使照,096/07/25,'0960249105,'960155
蝴蝶緣住戶管理委員會,楊梅區上湖里6鄰上四湖50之1號等,(84)桃縣工建使字第楊84240號,095/06/09,'0950162935,'950106
新楊湖天下社區管理委員會,楊梅區上湖里7鄰楊湖路三段846巷95弄23號等,使照號碼：97-3-1499~1502、1504~1518、1520~1531、1534~1537、1539、1540、1542~1545、1547、1550~1557、1559~1563、1682~1688、1690~1698、1998~~1999、2001~2003、97-3-2008~2013、2015~2022、2024、2026、2027、2029、2030、2033、2034、            99-3-601~614、616~618、620、621、624、625、627、628、633~640                                       100-3-521~531、533~535、537~543 、546~551、553、882~891、893~899、901、902、904、906~909、912、913、915、917,103/06/05,'1030039161,'103130
大學湖畔管理委員會,楊梅區上湖里富民街143巷23弄21號,(104)桃市都建使字第楊01115號,105/08/17,'1050024781,'105008
坤甚社區管理負責人,楊梅區大平里8鄰中山南路448號,(104)桃市都建使字第楊01490號,106/10/30,'1060036204,'106018
欣城御墅管理委員會,楊梅區大平里9鄰中山南路522巷18弄3號等,(95)桃縣工建使字第楊01123號,096/01/12,'0960016114,'960011
佳聯新城六期社區,楊梅區中山北路一段12巷2弄6號2樓,(81)桃縣建使字第其336號,094/04/21,'0940105215,'940064
兆豐公寓大廈管理負責人,楊梅區中山北路一段350號等,(94)桃縣工建使字第楊00698號,094/11/15,'0940322131,'
楊州花都住戶管理委員會,楊梅區中山北路一段390巷33-5號1樓,(82)桃縣工建使字第00316號,086/10/20,'8600206278,'860280
玫瑰村管理委員會,楊梅區中山北路一段390巷45弄34號,(83)桃縣工建使字第00259號,087/04/01,'8700062186,'870066
和發學悅社區管理委員會,楊梅區中山北路一段390巷87號等,(104)桃市工建使字第楊00050號,104/06/29,'1040018871,'104010
銘人居第貳期社區,楊梅區中山北路一段74巷33號7樓,(83)桃縣建使字第00095號,089/09/26,'8900194490,'890161
富俋吉祥社區管理委員會,楊梅區中山北路一段74巷5號7號2樓,(90)桃縣工建使字第楊00075號,091/06/07,'0910122849,'910058
福和國宅,楊梅區中山北路二段183號,(90)桃縣工建使字第楊00850號,091/07/31,'0910164840,'910086
第一佳公寓大廈管理委員會,楊梅區中山北路二段23巷29號9樓之3,(85)桃縣建使字第其00269號,088/04/15,'8800076135,'880065
國寶江山大廈住戶管理委員會,楊梅區中山北路二段82巷二段82巷11號10樓,(82)桃縣建使字第00407號,088/10/28,'8800234748,'880189
新象城堡管理負責人 簡賢福,楊梅區中山里1鄰環東路110巷15弄2號,(96)桃縣工建使字第楊01311號,096/10/23,'0960356887,'
偉盟社區管理負責人,楊梅區中山里4鄰環東路298巷86號等,(105)桃市都施使字第楊00754號,105/08/01,'1050022614,'105007
里山塾管理負責人,楊梅區中山里新農街318巷1弄1號,(104)桃市工建使字第楊00335號,105/10/25,'1050032971,'105014
愷得醫材科技股份有限公司管理負責人,楊梅區中山里環東路298巷198號,(105)桃市都施使字第楊01322號,106/02/07,'1060003217,'106003
聚寶莊社區,楊梅區中山南路600號,(84)桃縣建使字第00172號,087/04/22,'8700076411,'870082
華登御墅社區管理委員會,楊梅區中山南路683號,(100)桃縣工建使字第楊00402號,101/02/23,'1010048262,'101026
興達大鎮社區,楊梅區中山南路800巷140號,(83)桃縣建使字第01240號,090/07/31,'9000147167,'900082
文教菁英管理負責人,楊梅區中山路121巷4弄33號,(97)桃縣工建使字第01951號,098/01/06,'0980004061,'
楊梅第一景大廈,楊梅區中山路125巷75號,(84)桃縣工建使字第其00005號,085/09/19,'8500256535,'
秀崗社區管理負責人,楊梅區中正路420巷1弄11號,(96)桃縣工建使字第楊00918號,098/06/17,'0980231375,'
中興及第公寓大廈管理委員會,楊梅區中興路207號 等15戶,(103)桃縣工建使字第楊00793號,104/09/09,'1040028024,'104017
瑞士村住戶管理委員會,楊梅區中興路273巷19弄2號,(82)桃縣建使字第00511號,088/05/21,'8800106536,'880090
光華二村公寓大廈管理委員會,楊梅區中興路88號,(86)桃縣工建使字第其044號共2筆使照,095/12/07,'0950369739,'950271
揚金玉璽管理委員會,楊梅區元化街80巷8號,(99)桃縣工建使字第01124號,100/06/22,'1000241560,'100130
雙橡園社區管理委員會,楊梅區元化街85巷2號,(103)桃縣工建使字第楊00249號,103/05/26,'1030036194,'103120
卡莎米亞管理委員會,楊梅區文化街132巷1號,(88)桃縣工建使字第楊00384號,089/01/27,'8900020381,'890020
文化金都管理委員會,楊梅區文化街253號等,(84)桃縣建使字第00319號,089/02/25,'8900038137,'890037
文化福第,楊梅區文化街316巷8號5樓,(84)桃縣建使字第00063號,090/01/11,'9000007958,'900014
瑞光國宅社區管理委員會,楊梅區文化街351巷15號,72使1563-1 1563-2,096/01/15,'0960018810,'960018
柏園貴族第二期公寓大,楊梅區文化街355號4-4樓,(83)桃縣建使字第00242號,088/04/22,'8800082371,'880073
豪門社區,楊梅區文化街568巷26弄20號,(79)桃縣建使字第01169號,092/02/27,'0920042078,'920023
楊梅爵士堡,楊梅區文化街610巷21號,(95)桃縣工建使字第楊00579號,096/08/06,'0960260787,'960163
富貴吉第社區管理委員會,楊梅區日新街70號等18戶,建照:(80)其405 /使照:(82)其字第073號,104/08/11,'1040024721,'104015
狀元堡社區管理委員會,楊梅區水美里10鄰新梅五街20巷55弄10號等,(94)桃縣工建使字第楊00243號,094/11/03,'0940309213,'940209
桃園縣楊梅鎮竹賀社區管理委員會,楊梅區水美里27鄰楊新路二段31巷12號,(95)桃縣工建使字第楊01820號共3筆使照,097/04/25,'0970131803,'970050
新點意境管委會,楊梅區水美里5鄰新梅九街66巷2號等,(96)桃縣工建使字第楊02348號,097/05/20,'0970158872,'970078
樺楓星鑽社區管理委員會,楊梅區水美里新梅七街30號,(94)桃縣工建使字第楊01388號,095/08/29,'0950253227,'950182
澄境社區管理委員會,楊梅區水美里新梅九街60巷9號,(105)桃市都施使字第楊00172號,105/09/05,'1050026969,'105011
鴻運大街管理委員會,楊梅區四維里19鄰四維二路121號,(96)桃縣工建使字第楊00827號共7筆使照,098/11/17,'0980453835,'980216
百里歐香花園別墅社區,楊梅區四維里8鄰瑞溪路二段217號等,(95)桃縣工建使字第楊02618號,097/01/29,'0970037650,'970016
幸福宣言公寓大廈,楊梅區四維里文化街336號9樓,(95)桃縣工建使字第楊02154號,096/11/21,'0960392585,'960239
美麗鎮社區,楊梅區四維里四鄰文化街216號,(95)桃縣工建使字第楊00623號共3筆使照,096/04/23,'0960129735,'960086
星光會館管理委員會,楊梅區四維路169號,(96)桃縣工建使字第楊00384號共2筆使照,098/08/26,'0980331809,'980153
曙光計劃社區管理委員會,楊梅區永美路387巷116號,(96)桃縣工建使字第楊00384號共2筆使照,098/08/26,'0980331813,'980154
統晟大廈,楊梅區幼一路11號,(83)桃縣建使字第00543號,091/05/20,'0910106787,'910040
真愛大庭苑管理委員會,楊梅區幼獅路二段392巷29弄12號,(96)桃縣工建使字第楊01555號,098/04/14,'0980138967,'980043
五楊京都管理負責人,楊梅區幼獅路三段416巷79號,公所核發：建照(103)桃楊工建字第103021號;使照(103)桃楊工使字第103095號,104/07/31,'1040023254,'104014
陶莊管理委員會,楊梅區民生街18鄰505巷10弄22號,(84)楊梅鎮使字第84008號,096/01/05,'0007050,'960006
桃園市楊梅區富海社區管理委員會,楊梅區民有路二段445巷199弄1號,(104)桃市工建使字第楊00138號,104/09/16,'1040028797,'104018
理想家(五)社區,楊梅區民族路五段107巷42弄15號,(91)桃縣建使字第00820號,094/02/15,'0940039424,'940018
理想家九期管理委員會,楊梅區民族路五段107巷77弄1號,(92)桃縣工建使字第楊01331號,095/10/03,'0950293255,'950211
理想家第十一期住戶管理委員會,楊梅區民族路五段107巷77弄35號,(93)桃縣工建使字第楊00324號,096/01/12,'0960016104,'960015
御品社區管理委員會,楊梅區民族路五段107巷77弄65號,(93)桃縣工建使字第楊01614號,094/11/16,'0940322178,'940217
四季尊邸社區管理委員會,楊梅區民族路五段147巷67號,(104)桃市都建使字第楊00746號,106/11/30,'1060040065,'106023
高榮維多利亞社區,楊梅區民族路五段197號,(85)桃縣工建使字1295號,086/09/27,'8600189663,'860262
米堤花園社區,楊梅區民族路五段201巷1356弄2-1號,(89)桃縣工建使字第楊00687號,094/04/27,'0940111968,'940066
龍大莊社區,楊梅區民族路五段201巷75弄警衛室,(89)桃縣工建使字第楊00462號,090/11/29,'9000243061,'900136
清淞六期社區管理委員會,楊梅區民族路五段201巷98弄10號,(102)桃縣工建使字第楊00855號,103/07/01,'1030045697,'103149
百達富麗社區管理委員會,楊梅區民族路五段285巷7弄1~30號,(94)桃縣工建使字第楊02105號,098/11/16,'0980450881,'980214
名人園邸第二期,楊梅區民族路五段551巷63弄62號等,(94)桃縣工建使字第楊00016號,094/09/02,'940242209,'940147
名人園邸第二期之一管理委員會,楊梅區民族路五段551巷65弄78-1號等,(94)桃縣工建使字第楊00014號,094/10/13,'0940283987,'940183
輔團公寓大廈管理負責人 葉國存,楊梅區民豐路526巷6號,84楊鎮使照字第84019號,096/11/29,'0960398507,'
喜洋洋大樓管理委員會,楊梅區永平里一鄰漢昌街25號等,(85)桃縣工建使字第00023號,097/03/13,'0970079187,'970035
華府DC社區管理委員會,楊梅區永美路371巷12號等169戶,(105)桃市都施使字第楊01389號,106/09/22,'1060032247,'106011
興硯昌盛A社區管理委員會,楊梅區永美路445巷178弄26號等11戶,(104)桃市工建使字第楊00117號,104/07/30,'1040023370,'104013
柏園貴族公寓大廈,楊梅區永美路445巷22弄7號之6樓,(81)桃縣工建使字第其223號,085/11/29,'8500270693,'
弘威望族社區管理委員會,楊梅區永寧里10鄰環南路75巷52弄1號,(102)桃縣工建使字第楊00048號,102/08/29,'1020215211,'102205
翰林傳家管理委員會,楊梅區永寧里11鄰校前路276巷21號,(101)桃縣工建使字第楊00646號,102/10/16,'1020255529,'102228
耕讀園社區管理委員會,楊梅區永寧里21鄰環南路255巷12號,(95)桃縣工建使字第楊02647號共2筆使照,096/08/08,'0960264143,'960168
行政特區Ａ區管理負責人,楊梅區永寧里9鄰校前路318巷47號,(101)桃縣工建使字第楊00378號,103/01/07,'1030005190,'103005
行政特區J區管理負責人,楊梅區永寧里9鄰校前路318巷56弄2號,(102)桃縣工建使字第楊01023號,103/01/07,'1030005297,'103010
行政特區Ｃ區管理負責人,楊梅區永寧里9鄰校前路324巷101號,(101)桃縣工建使字第楊00030號,103/01/07,'1030005241,'103007
行政特區Ｅ區管理負責人,楊梅區永寧里9鄰校前路324巷128號,(101)桃縣工建使字第楊00428號,103/01/07,'1030005274,'103008
行政特區Ｈ區管理負責人,楊梅區永寧里9鄰校前路324巷60號,(102)桃縣工建使字第楊00365號,103/01/07,'1030005306,'103011
行政特區Ｂ區管理負責人,楊梅區永寧里9鄰校前路324巷81號,(101)桃縣工建使字第楊00029號,103/01/07,'1030005228,'103006
行政特區Ｋ區管理負責人,楊梅區永寧里9鄰校前路324巷86號,(101)桃縣工建使字第楊01292號,103/01/07,'1030005288,'103009
荷塘見月社區管理委員會,楊梅區永寧里9鄰校前路346號,(101)桃縣工建使字第楊00074號,102/05/24,'1020128694,'102111
靜心園社區管理委員會,楊梅區永寧里校前路276巷38弄11號,(104)桃市都建使字第楊01630號,106/01/17,'1060001325,'106001
春虹桂冠社區管理委員會,楊梅區永寧路1巷2號,(97)桃縣工建使字第楊01328號,101/06/06,'1010140296,'101102
永寧庭園管理負責人,楊梅區永寧路56、58、60、62、66等5戶,(103)桃縣工建使字第楊01457號,104/04/13,'1040009949,'104007
幸福華廈管理負責人  趙榮倉,楊梅區光華里23鄰文化街347巷32號等,(100)桃縣工建使字第楊01347號,100/12/23,'1000535456,'100257
夏威夷社區管理委員會,楊梅區光裕南街93號,(87)桃縣工建使字第楊00894號,089/06/30,'8900127992,'890123
大藏菁社區管理委員會,楊梅區老莊路162之1號,(95)桃縣工建使字第楊00115號,096/07/26,'0960248889,'960154
陽森山莊社區,楊梅區老莊路505巷77弄19號(管理室),(85)桃縣工建使字第00782號共8筆使照,088/09/06,'8800192800,'880148
楊梅商場,楊梅區自立街136號,(83)桃縣工建使字第0212號,094/01/31,'0940029746,'940013
富貴園華廈,楊梅區自立街345-349號,(81)桃縣建使字第00253號,089/04/17,'8900072783,'890074
快樂小鎮社區管理委員會,楊梅區快速路五段899巷1號等,(97)桃縣工建使字第楊00831號共2筆使照,100/01/07,'1000009386,'100002
秀才雅筑管理負責人,楊梅區秀才里3鄰秀才路320巷45弄10號,(100)桃縣工建使字第楊00393號,101/04/18,'1010096582,'101068
秀才湖畔住戶管理委員會AB棟,楊梅區秀才路487號等,(94)桃縣工建使字第楊02381號,095/06/15,'0950173255,'950115
秀才湖畔(C棟)住戶管理委員會,楊梅區秀才路499巷19號等,(94)桃縣工建使字第楊02380號,095/03/30,'0950088010,'950048
秀才湖畔(DE)住戶管理委員會,楊梅區秀才路499巷2號等,(94)桃縣工建使字第楊02379號,095/06/16,'0950173980,'950116
金福利大樓管理委員會,楊梅區秀才路511巷1號,(84)桃縣工建使字第其00018號,106/12/26,'1060043505,'106025
高振社區管理負責人,楊梅區和平路180巷16號,(104)桃市工建使字第楊00339號,104/08/28,'1040026659,'104016
旺德國際精機有限公司管理負責人,楊梅區和平路236巷51號,(105)桃市都施使字第楊01251號,106/10/19,'1060034844,'106010
大全社區管理委員會,楊梅區和平路645巷6號,(81)桃縣工建使字第00466號,100/06/15,'1000232515,'100127
東森山莊社區管理委員會,楊梅區東森路2號,(96)桃縣工建使字第楊01970號共3筆使照,101/10/22,'1010268025,'101215
富豪名宮,楊梅區武營街108號,(84)桃縣建使字第00087號,093/09/20,'0930242768,'930125
陽光城堡公寓大廈管理負責人,楊梅區迎旭三街13-2號,(96)桃縣工建使字第楊00498號,102/04/02,'1020080430,'102056
站前歡喜樓公寓大廈,楊梅區金山街109號2樓-2,(84)桃縣工建使字第楊00443號,085/12/14,'8500281546,'860002
智富城社區管理委員會,楊梅區金山街300號等205戶,(104)桃市都建使字第楊00974號,105/02/05,'1050003542,'105002
大和經典社區管理委員會,楊梅區金溪里4鄰金溪路141號等,(102)桃縣工建使字第楊01405號,105/05/17,'1050014164,'105004
山研四季天靚社區管理委員會,楊梅區金溪里4鄰金溪路159巷17號,(100)桃縣工建使字第楊01209號,101/05/17,'1010140939,'101082
山研四季天悅社區管理委員會,楊梅區金溪里4鄰金溪路159巷27號等16戶,(100)桃縣工建使字第楊00069號,100/07/08,'1000269380,'100139
楊梅天下管理委員會,楊梅區金溪里6鄰瑞溪路1段1-69號,,085/11/26,'8500277297,'
十全十美社區管理委員會,楊梅區金溪里7鄰43巷106號等,(95)桃縣工建使字第楊00823號,097/08/07,'0970256920,'970135
